user_name,product_name,user_review
User_1,Stanley Quencher,I was not satisfied with this product. It did not meet my expectations and I would not buy it again.
User_1,Insulated Water Bottle,Waste of money. The product did not work as described and I would not recommend it.
User_1,Apple AirPods,Unhappy. The product did not meet my expectations and I would not buy it again.
User_1,Food Kitchen Scale,Excellent quality and great value for money. I am very happy with my purchase and will definitely buy again.
User_1,Protein Shake,Never again. The product did not meet my expectations and I would not buy it again.
User_1,Medium Roast Coffee,Poor quality. The product did not last long and broke after a few uses.
User_1,Black Raspberry Sparkling Water,Could be better. The product has some flaws and does not work as well as I hoped.
User_1,Crew T-Shirts,Great deal. The product is of high quality and very affordable.
User_1,iPhone 14,Good for the price. The product is affordable and works as described.
User_1,Samsung Galaxy S23,Regret buying this. The product did not meet my expectations and I would not buy it again.
User_1,Poker Cards,Very happy with this purchase. The product is exactly as described and works perfectly.
User_1,LG TV,Unhappy. The product did not meet my expectations and I would not buy it again.
User_1,Low Socks,Could be better. The product has some flaws and does not work as well as I hoped.
User_1,Baby Balance Bike,Very satisfied with this purchase. The product is exactly as described and works perfectly.
User_1,Bluetooth Speaker,This product is amazing! It exceeded all my expectations and I would highly recommend it to anyone looking for quality.
User_2,Stanley Quencher,I was not satisfied with this product. It did not meet my expectations and I would not buy it again.
User_2,Insulated Water Bottle,Exceeded my expectations. The product is of excellent quality and works perfectly.
User_2,Apple AirPods,I was not satisfied with this product. It did not meet my expectations and I would not buy it again.
User_2,Food Kitchen Scale,Satisfied. The product is exactly as described and works perfectly.
User_2,Protein Shake,Unhappy. The product did not meet my expectations and I would not buy it again.
User_2,Medium Roast Coffee,This product is amazing! It exceeded all my expectations and I would highly recommend it to anyone looking for quality.
User_2,Black Raspberry Sparkling Water,Awful. The product did not work as described and I would not recommend it.
User_2,Crew T-Shirts,Amazing value for money. The product is of high quality and very affordable.
User_2,iPhone 14,One star. The product did not work as described and I would not recommend it.
